"Gene.name"	"Mouse.gene.name"
"HMG20A"	"Hmg20a"
"VHL"	"Vhl"
"EBAG9"	"Ebag9"
"RPEL1"	"Rpe"
"TXNL4A"	"Txnl4a"
"TRIP12"	"Trip12"
"TUBB4B"	"Tubb4b"
"MSANTD4"	"Msantd4"
"UBXN8"	"Ubxn8"
"AKAP12"	"Akap12"
"SLC5A3"	"Slc5a3"
"BABAM1"	"Babam1"
"SNAPC1"	"Snapc1"
"SLC9A3R2"	"Slc9a3r2"
"RFK"	"Rfk"
"PLEKHA4"	"Plekha4"
"TJP1"	"Tjp1"
"HBA1"	"Hba-a2"
"SMIM11A"	"Smim11"
"MET"	"Met"
"THAP3"	"Thap3"
"NR3C1"	"Nr3c1"
"CA1"	"Car1"
"EIF2S3B"	"Eif2s3x"
"ID1"	"Id1"
"DNAJC11"	"Dnajc11"
"SGK1"	"Sgk1"
"FUCA2"	"Fuca2"
"TUSC3"	"Tusc3"
"TINAGL1"	"Tinagl1"
"TSNAX"	"Tsnax"
"CD44"	"Cd44"
"CLOCK"	"Clock"
"TSNAX-DISC1"	"Tsnax"
"BAMBI"	"Bambi"
"LRRC47"	"Lrrc47"
"BCL2L1"	"Bcl2l1"
"IGFBP3"	"Igfbp3"
"HERPUD2"	"Herpud2"
"TMEM189"	"Tmem189"
"RNF213"	"Rnf213"
"CORO2A"	"Coro2a"
"MFSD5"	"Mfsd5"
"HDDC2"	"Hddc2"
"DCAF12"	"Dcaf12"
"IFRD2"	"Ifrd2"
"ZMAT5"	"Zmat5"
"NUP153"	"Nup153"
"ZHX1"	"Zhx1"
"UTP20"	"Utp20"
"C14orf119"	"1700123O20Rik"
"HNRNPR"	"Hnrnpr"
"MBD2"	"Mbd2"
"KIF20B"	"Kif20b"
"SNED1"	"Sned1"
"RBFA"	"Rbfa"
"C7orf26"	"E130309D02Rik"
"SH3BP1"	"Sh3bp1"
"CLK4"	"Clk4"
"BMPR1A"	"Bmpr1a"
"INTS6"	"Ints6"
"MXRA8"	"Mxra8"
"BOK"	"Bok"
"CHURC1"	"Churc1"
"VCPKMT"	"Vcpkmt"
"MAX"	"Max"
"RRP9"	"Rrp9"
"RAB35"	"Rab35"
"FFAR2"	"Ffar2"
"UBAP1"	"Ubap1"
"TESPA1"	"Tespa1"
"KRTDAP"	"Krtdap"
"GATA3"	"Gata3"
"UBE2N"	"Ube2n"
"PEF1"	"Pef1"
"PSMC1"	"Psmc1"
"CWF19L2"	"Cwf19l2"
"LTV1"	"Ltv1"
"COL16A1"	"Col16a1"
"ZBTB24"	"Zbtb24"
"NBL1"	"Nbl1"
"BACH2"	"Bach2"
"RCAN1"	"Rcan1"
"HECTD1"	"Hectd1"
"CHMP6"	"Chmp6"
"ELOF1"	"Elof1"
"AL049844.3"	"Ltv1"
"MMRN2"	"Mmrn2"
"FAM25A"	"Fam25c"
"ACP5"	"Acp5"
"NELFB"	"Nelfb"
"RND3"	"Rnd3"
"CEBPE"	"Cebpe"
"BAIAP2"	"Baiap2"
"BPGM"	"Bpgm"
"MED8"	"Med8"
"ZDHHC3"	"Zdhhc3"
"TIMM10"	"Timm10"
"HDAC4"	"Hdac4"
"TBC1D15"	"Tbc1d15"
"MAP4K1"	"Map4k1"
"TUG1"	"Tug1"
"RBBP8"	"Rbbp8"
"GAK"	"Gak"
"ADAMTS2"	"Adamts2"
"FXN"	"Fxn"
"KIDINS220"	"Kidins220"
"UBLCP1"	"Ublcp1"
"YIPF5"	"Yipf5"
"BRD3"	"Brd3"
"SLC44A2"	"Slc44a2"
"LSM8"	"Lsm8"
"SERPINB2"	"Serpinb2"
"TMEM100"	"Tmem100"
"PPME1"	"Ppme1"
"MSR1"	"Msr1"
"SCARB2"	"Scarb2"
"MMP2"	"Mmp2"
"PLET1"	"Plet1"
"ZC3H7A"	"Zc3h7a"
"EPB41L2"	"Epb41l2"
"RBBP4"	"Rbbp4"
"GOLGA8J"	"Golga2"
"ASCC1"	"Ascc1"
"SCAND1"	"Scand1"
"CNBD2"	"Cnbd2"
"PREP"	"Prep"
"SBF1"	"Sbf1"
"RTCA"	"Rtca"
"ANXA8"	"Anxa8"
"TRIOBP"	"Triobp"
"CDC27"	"Cdc27"
"ACTN4"	"Actn4"
"CLUH"	"Cluh"
"ARL1"	"Arl1"
"HLX"	"Hlx"
"ZNF335"	"Zfp335"
"C9orf85"	"1110059E24Rik"
"TPX2"	"Tpx2"
"NFATC3"	"Nfatc3"
"ABCB1"	"Abcb1b"
"LARP1B"	"Larp1b"
"LGALS7"	"Lgals7"
"LGALS7B"	"Lgals7"
"FAM25G"	"Fam25c"
"GOLGA8T"	"Golga2"
"BATF3"	"Batf3"
"WBP4"	"Wbp4"
"MAP3K7"	"Map3k7"
"TMEM251"	"Tmem251"
"GON7"	"Gon7"
"FCGRT"	"Fcgrt"
"VPS13A"	"Vps13a"
"MRPL42"	"Mrpl42"
"TPD52L2"	"Tpd52l2"
"CAMTA1"	"Camta1"
"MED21"	"Med21"
"DMKN"	"Dmkn"
"RFC2"	"Rfc2"
"RUFY1"	"Rufy1"
"SEMA3C"	"Sema3c"
"FYN"	"Fyn"
"EGFR"	"Egfr"
"CXCL16"	"Cxcl16"
"DUSP10"	"Dusp10"
"LOXL2"	"Loxl2"
"HINT3"	"Hint3"
"XDH"	"Xdh"
"RELA"	"Rela"
"CDC14A"	"Cdc14a"
"LMO1"	"Lmo1"
"NSMCE1"	"Nsmce1"
"RRAS"	"Rras"
"PABPN1"	"Pabpn1"
"GAB3"	"Gab3"
"PTPN23"	"Ptpn23"
"SERPINB8"	"Serpinb8"
"NUPR1"	"Nupr1"
"CXXC5"	"Cxxc5"
"DUS2"	"Dus2"
"ATG5"	"Atg5"
"FAM25C"	"Fam25c"
"LARS1"	"Lars"
"RAP2A"	"Rap2a"
"MMP9"	"Mmp9"
"RABEPK"	"Rabepk"
"SGF29"	"Sgf29"
"SERPING1"	"Serping1"
"C1orf35"	"2310033P09Rik"
"PRDM1"	"Prdm1"
"GOLGA8R"	"Golga2"
"SVIL"	"Svil"
"GDA"	"Gda"
"PBRM1"	"Pbrm1"
"BMX"	"Bmx"
"CTTNBP2NL"	"Cttnbp2nl"
"RPP30"	"Rpp30"
"FAM114A2"	"Fam114a2"
"GOLGA8Q"	"Golga2"
"MRPL20"	"Mrpl20"
"TXNDC12"	"Txndc12"
"ATP13A2"	"Atp13a2"
"PPP3R1"	"Ppp3r1"
"DDIT4"	"Ddit4"
"CAPZA1"	"Capza1"
"AC017083.3"	"Ppp3r1"
"LCP2"	"Lcp2"
"PIP4K2C"	"Pip4k2c"
"TSHZ2"	"Tshz2"
"ECH1"	"Ech1"
"AC013271.1"	"Lims1"
"SUCLG1"	"Suclg1"
"LIMS3"	"Lims1"
"SIPA1L1"	"Sipa1l1"
"PGRMC2"	"Pgrmc2"
"RINL"	"Rinl"
"MPV17L2"	"Mpv17l2"
"CALD1"	"Cald1"
"ASAH1"	"Asah1"
"NFKBIB"	"Nfkbib"
"CCS"	"Ccs"
"COL5A3"	"Col5a3"
"CMTM6"	"Cmtm6"
"AC005702.1"	"Rps6kb1"
"RPS6KB1"	"Rps6kb1"
"SLC25A37"	"Slc25a37"
"FBLN2"	"Fbln2"
"CPED1"	"Cped1"
"C1orf174"	"A430005L14Rik"
"PYCR2"	"Pycr2"
"ZC3H11A"	"Zc3h11a"
"SOCS2"	"Socs2"
"TTC1"	"Ttc1"
"NMD3"	"Nmd3"
"SMIM4"	"Smim4"
"AL117348.2"	"Pycr2"
"MRPL58"	"Mrpl58"
"ZDHHC5"	"Zdhhc5"
"MFAP1"	"Mfap1a"
"MAP3K2"	"Map3k2"
"C8orf33"	"1110038F14Rik"
"PSMB6"	"Psmb6"
"ADRB2"	"Adrb2"
"GOLGA8H"	"Golga2"
"ENPP2"	"Enpp2"
"DAB2"	"Dab2"
"HYI"	"Hyi"
"PPP1R9B"	"Ppp1r9b"
"DKC1"	"Dkc1"
"HEATR6"	"Heatr6"
"SH3PXD2A"	"Sh3pxd2a"
"WDR76"	"Wdr76"
"GPC1"	"Gpc1"
"CBL"	"Cbl"
"PGM2L1"	"Pgm2l1"
"DRAM2"	"Dram2"
"MED19"	"Med19"
"GEM"	"Gem"
"IGFBP2"	"Igfbp2"
"DCAF15"	"Dcaf15"
"CEPT1"	"Cept1"
"IGFBP5"	"Igfbp5"
"AC090517.4"	"Zfp280d"
"ZNF280D"	"Zfp280d"
"ABTB2"	"Abtb2"
"ITPRIPL1"	"Itpripl1"
"HS2ST1"	"Hs2st1"
"PFDN1"	"Pfdn1"
"HEATR1"	"Heatr1"
"AC093155.3"	"Hs2st1"
"CYSTM1"	"Cystm1"
"ABHD5"	"Abhd5"
"GDF15"	"Gdf15"
"SAMD4B"	"Samd4b"
"MRPS5"	"Mrps5"
"SAP30L"	"Sap30l"
"AIM2"	"Aim2"
"HBEGF"	"Hbegf"
"PAF1"	"Paf1"
"PTPN12"	"Ptpn12"
"GPATCH11"	"Gpatch11"
"NAA16"	"Naa16"
"PCGF5"	"Pcgf5"
"BTBD7"	"Btbd7"
"TMX2"	"Tmx2"
"TRIM25"	"Trim25"
"ELOVL6"	"Elovl6"
"EIF4E3"	"Eif4e3"
"FAM3C"	"Fam3c"
"SMIM10L1"	"Smim10l1"
"VCAM1"	"Vcam1"
"KLF11"	"Klf11"
"MED15"	"Med15"
"ISYNA1"	"Isyna1"
"AKT1S1"	"Akt1s1"
"NDUFAF4"	"Ndufaf4"
"RYK"	"Ryk"
"SCLT1"	"Sclt1"
"CP"	"Cp"
"UTRN"	"Utrn"
"TNKS2"	"Tnks2"
"DUSP16"	"Dusp16"
"LARP1"	"Larp1"
"UBE3B"	"Ube3b"
"JADE1"	"Jade1"
"AMOTL2"	"Amotl2"
"SLC15A4"	"Slc15a4"
"PGD"	"Pgd"
"PLVAP"	"Plvap"
"RIT1"	"Rit1"
"SENP7"	"Senp7"
"COL1A1"	"Col1a1"
"HNRNPH1"	"Hnrnph1"
"LIN54"	"Lin54"
"UXS1"	"Uxs1"
"ADM"	"Adm"
"RPA3"	"Rpa3"
"SEC31A"	"Sec31a"
"PDRG1"	"Pdrg1"
"FUNDC2"	"Fundc2"
"ATAD3A"	"Atad3a"
"APOLD1"	"Apold1"
"MAGI3"	"Magi3"
"ELL"	"Ell"
"AC091959.3"	"Rbm27"
"RBM27"	"Rbm27"
"FKBP8"	"Fkbp8"
"IRF2BP2"	"Irf2bp2"
"EIF3C"	"Eif3c"
"MRPL3"	"Mrpl3"
"SIGLEC11"	"Siglecg"
"NUP62"	"Nup62"
"CPNE8"	"Cpne8"
"MVB12A"	"Mvb12a"
"CDK19"	"Cdk19"
"NT5DC3"	"Nt5dc3"
"GPR18"	"Gpr18"
"ARL14EP"	"Arl14ep"
"TBC1D17"	"Tbc1d17"
"GOLGA6D"	"Golga2"
"PLOD2"	"Plod2"
"PPP2R5E"	"Ppp2r5e"
"SLC30A7"	"Slc30a7"
"PTTG1"	"Pttg1"
"TXK"	"Txk"
"AKT2"	"Akt2"
"CHSY1"	"Chsy1"
"BRCC3"	"Brcc3"
"IL1R2"	"Il1r2"
"LAMA4"	"Lama4"
"WDR83OS"	"Wdr83os"
"AUH"	"Auh"
"SCPEP1"	"Scpep1"
"HEBP1"	"Hebp1"
"ZRSR2"	"Zrsr1"
"NFIL3"	"Nfil3"
"VARS1"	"Vars"
"SLC27A4"	"Slc27a4"
"MYO6"	"Myo6"
"ITGA4"	"Itga4"
"KCMF1"	"Kcmf1"
"CLDN1"	"Cldn1"
"SGPP1"	"Sgpp1"
"AMMECR1"	"Ammecr1"
"FAM214B"	"Fam214b"
"CEP83"	"Cep83"
"CEP63"	"Cep63"
"PLD3"	"Pld3"
"COPS7A"	"Cops7a"
"ZCCHC9"	"Zcchc9"
"SOX9"	"Sox9"
"SNX29"	"Snx29"
"BRF1"	"Brf1"
"SLC25A19"	"Slc25a19"
"ATP2A3"	"Atp2a3"
"CMTR1"	"Cmtr1"
"BCL7C"	"Bcl7c"
"MPPE1"	"Mppe1"
"IPO5"	"Ipo5"
"DIAPH3"	"Diaph3"
"OLFML2B"	"Olfml2b"
"AGA"	"Aga"
"LRRC59"	"Lrrc59"
"PRDX1"	"Prdx1"
"KAT5"	"Kat5"
"KXD1"	"Kxd1"
"AP1AR"	"Ap1ar"
"SLF1"	"Slf1"
"CCDC167"	"Ccdc167"
"TNS1"	"Tns1"
"ELK3"	"Elk3"
"EIF2B5"	"Eif2b5"
"IPMK"	"Ipmk"
"SELENOM"	"Selenom"
"TIFA"	"Tifa"
"SAMD8"	"Samd8"
"TMEM60"	"Tmem60"
"NFS1"	"Nfs1"
"IMMP1L"	"Immp1l"
"PHF8"	"Phf8"
"URM1"	"Urm1"
"DNAJC24"	"Dnajc24"
"DCTN3"	"Dctn3"
"COPA"	"Copa"
"LARS2"	"Lars2"
"RAB29"	"Rab29"
"RALGAPB"	"Ralgapb"
"CHRAC1"	"Chrac1"
"YEATS4"	"Yeats4"
"ING5"	"Ing5"
"RASGRP2"	"Rasgrp2"
"CNOT9"	"Cnot9"
"GGPS1"	"Ggps1"
"ANKRD28"	"Ankrd28"
"ASF1B"	"Asf1b"
"LTBP4"	"Ltbp4"
"CLYBL"	"Clybl"
"DENND2D"	"Dennd2d"
"APPBP2"	"Appbp2"
"NIBAN1"	"Fam129a"
"KIF11"	"Kif11"
"TBC1D2B"	"Tbc1d2b"
"SLC41A1"	"Slc41a1"
"TMEM94"	"Tmem94"
"FUT8"	"Fut8"
"SMIM12"	"Smim12"
"PPM1D"	"Ppm1d"
"ZFAND3"	"Zfand3"
"CD28"	"Cd28"
"CISD1"	"Cisd1"
"MAF"	"Maf"
"AC026464.3"	"Cog8"
"CTLA4"	"Ctla4"
"COG8"	"Cog8"
"PDLIM1"	"Pdlim1"
"PHTF1"	"Phtf1"
"SRSF4"	"Srsf4"
"COL14A1"	"Col14a1"
"NIP7"	"Nip7"
"KLF16"	"Klf16"
"SHTN1"	"Shtn1"
"MFGE8"	"Mfge8"
"SLC38A10"	"Slc38a10"
"CHTF8"	"Chtf8"
"CDC34"	"Cdc34"
"PPP1CC"	"Ppp1cc"
"EXOSC1"	"Exosc1"
"VAV3"	"Vav3"
"SCARA3"	"Scara3"
"CAMLG"	"Caml"
"FAM210B"	"Fam210b"
"OSM"	"Osm"
"EFEMP1"	"Efemp1"
"AC026464.6"	"Cog8"
"SNTB2"	"Sntb2"
"CHCHD4"	"Chchd4"
"KIF3A"	"Kif3a"
"METAP1"	"Metap1"
"IL1R1"	"Il1r1"
"ZZEF1"	"Zzef1"
"TMCC3"	"Tmcc3"
"CLCN3"	"Clcn3"
"ELF4"	"Elf4"
"ICOS"	"Icos"
"ABHD2"	"Abhd2"
"GLS"	"Gls"
"ESCO2"	"Esco2"
"HCK"	"Hck"
"MAIP1"	"Maip1"
"CDK17"	"Cdk17"
"RAB7B"	"Rab7b"
"JOSD2"	"Josd2"
"BACH1"	"Bach1"
"CIB2"	"Cib2"
"BCAP29"	"Bcap29"
"KRT10"	"Krt10"
"RNF6"	"Rnf6"
"ADSL"	"Adsl"
"EGLN2"	"Egln2"
"DYRK1A"	"Dyrk1a"
"TMEM147"	"Tmem147"
"TRMT1L"	"Trmt1l"
"IDH3A"	"Idh3a"
"ORM2"	"Orm1"
"ZNF800"	"Zfp800"
"EVI5"	"Evi5"
"UCKL1"	"Uckl1"
"ORM1"	"Orm1"
"CLEC11A"	"Clec11a"
"ATXN3"	"Atxn3"
"ANKFY1"	"Ankfy1"
"OGT"	"Ogt"
"ARL16"	"Arl16"
"TNF"	"Tnf"
"BICC1"	"Bicc1"
"IWS1"	"Iws1"
"AXL"	"Axl"
"ADSS1"	"Adssl1"
"NDUFS7"	"Ndufs7"
"ESD"	"Esd"
"MEPCE"	"Mepce"
"SOS2"	"Sos2"
"QPCT"	"Qpct"
"TIPIN"	"Tipin"
"C5orf24"	"B230219D22Rik"
"FST"	"Fst"
"ADH5"	"Adh5"
"SLC25A39"	"Slc25a39"
"EIF1AY"	"Eif1a"
"XPC"	"Xpc"
"HAX1"	"Hax1"
"CNOT10"	"Cnot10"
"HPF1"	"Hpf1"
"FMR1"	"Fmr1"
"PXN"	"Pxn"
"PPP1R35"	"Ppp1r35"
"TMEM43"	"Tmem43"
"F2R"	"F2r"
"SCAMP4"	"Scamp4"
"DCAF10"	"Dcaf10"
"AREG"	"Areg"
"SMU1"	"Smu1"
"SACM1L"	"Sacm1l"
"ABHD12"	"Abhd12"
"MCM2"	"Mcm2"
"THY1"	"Thy1"
"CCNYL1"	"Ccnyl1"
"AC011462.1"	"Bckdha"
"TGFB1"	"Tgfb1"
"TM4SF1"	"Tm4sf1"
"SRGAP2"	"Srgap2"
"YIPF6"	"Yipf6"
"UPP1"	"Upp1"
"AC112229.3"	"Lims1"
"SMARCA4"	"Smarca4"
"LIMS4"	"Lims1"
"GPC3"	"Gpc3"
"DUSP22"	"Dusp22"
"IFI27L2"	"Ifi27"
"FRS2"	"Frs2"
"TRABD"	"Trabd"
"PADI4"	"Padi4"
"SLC25A24"	"Slc25a24"
"RERE"	"Rere"
"AP2M1"	"Ap2m1"
"BCKDHA"	"Bckdha"
"SLC35C2"	"Slc35c2"
"IRF9"	"Irf9"
"SUCLA2"	"Sucla2"
"NABP2"	"Nabp2"
"LPXN"	"Lpxn"
"ZMYM1"	"Zmym1"
"COL6A1"	"Col6a1"
"LRPPRC"	"Lrpprc"
"CSNK1G2"	"Csnk1g2"
"DDR2"	"Ddr2"
"PRRC1"	"Prrc1"
"RPS6KA5"	"Rps6ka5"
"ADGRF5"	"Adgrf5"
"WDR18"	"Wdr18"
"ANTXR1"	"Antxr1"
"ATP8B2"	"Atp8b2"
"SIN3A"	"Sin3a"
"WWP1"	"Wwp1"
"TXLNG"	"Txlng"
"NLRP3"	"Nlrp3"
"RHOV"	"Rhov"
"ETFB"	"Etfb"
"RMDN1"	"Rmdn1"
"NKG7"	"Nkg7"
"PLSCR1"	"Plscr1"
"CBFB"	"Cbfb"
"SERPINH1"	"Serpinh1"
"PDE8A"	"Pde8a"
"ELMO1"	"Elmo1"
"SIGLEC10"	"Siglecg"
"CCAR1"	"Ccar1"
"ENPP1"	"Enpp1"
"SLCO3A1"	"Slco3a1"
"SULF2"	"Sulf2"
"GCC2"	"Gcc2"
"EIF4G3"	"Eif4g3"
"PIP5K1C"	"Pip5k1c"
"SYNRG"	"Synrg"
"DCPS"	"Dcps"
"SNX18"	"Snx18"
"CENPH"	"Cenph"
"TMEM65"	"Tmem65"
"MRPS36"	"Mrps36"
"RNF139"	"Rnf139"
"COL15A1"	"Col15a1"
"MTSS1"	"Mtss1"
"ATP2A2"	"Atp2a2"
"MPO"	"Mpo"
"KANSL3"	"Kansl3"
"PTGER4"	"Ptger4"
"AHCTF1"	"Ahctf1"
"SLC25A11"	"Slc25a11"
"MIDN"	"Midn"
"TMEM259"	"Tmem259"
"CREBRF"	"Crebrf"
"WWTR1"	"Wwtr1"
"PDGFRL"	"Pdgfrl"
"MTUS1"	"Mtus1"
"COMMD2"	"Commd2"
"IVNS1ABP"	"Ivns1abp"
"RABGGTB"	"Rabggtb"
"GZMA"	"Gzma"
"BNIP1"	"Bnip1"
"RABAC1"	"Rabac1"
"XPO6"	"Xpo6"
"PDZD8"	"Pdzd8"
"FBXW11"	"Fbxw11"
"MAP3K8"	"Map3k8"
"CDK5R1"	"Cdk5r1"
"CXADR"	"Cxadr"
"AC013717.1"	"Ppm1b"
"HAS1"	"Has1"
"CCNE2"	"Ccne2"
"ZNF281"	"Zfp281"
"AGFG2"	"Agfg2"
"COL17A1"	"Col17a1"
"CXCR2"	"Cxcr2"
"ID3"	"Id3"
"BMPR2"	"Bmpr2"
"KBTBD2"	"Kbtbd2"
"INTS2"	"Ints2"
"IL18RAP"	"Il18rap"
"SLC12A2"	"Slc12a2"
"VAMP7"	"Vamp7"
"ATR"	"Atr"
"SFRP4"	"Sfrp4"
"GPR141"	"Gpr141"
"FPR1"	"Fpr1"
"SRPK3"	"Srpk3"
"SF3A1"	"Sf3a1"
"RANBP3"	"Ranbp3"
"PPM1B"	"Ppm1b"
"TARDBP"	"Tardbp"
"EHMT2"	"Ehmt2"
"PPP2R1A"	"Ppp2r1a"
"CD2AP"	"Cd2ap"
"MAP4K5"	"Map4k5"
"NDUFAF6"	"Ndufaf6"
"GPX8"	"Gpx8"
"SLC29A1"	"Slc29a1"
"TOP2A"	"Top2a"
"ELOA"	"Eloa"
"CDH13"	"Cdh13"
"ERF"	"Erf"
"SPTAN1"	"Sptan1"
"NGDN"	"Ngdn"
"WWC2"	"Wwc2"
"AC092718.8"	"Gcsh"
"AC092718.3"	"Gcsh"
"NPRL2"	"Nprl2"
"VPS53"	"Vps53"
"FKBP9"	"Fkbp9"
"PAFAH1B3"	"Pafah1b3"
"ZSWIM6"	"Zswim6"
"GCSH"	"Gcsh"
"IGFBP4"	"Igfbp4"
"FAM117B"	"Fam117b"
"GNL3L"	"Gnl3l"
"GPATCH8"	"Gpatch8"
"MLF2"	"Mlf2"
"CMC2"	"Cmc2"
"UBTD2"	"Ubtd2"
"SGTA"	"Sgta"
"PRKAA1"	"Prkaa1"
"TMEM184B"	"Tmem184b"
"RNF126"	"Rnf126"
"GTF3A"	"Gtf3a"
"EIF3CL"	"Eif3c"
"TREM1"	"Trem1"
"CCDC50"	"Ccdc50"
"LIMK2"	"Limk2"
"BOD1"	"Bod1"
"FAM102B"	"Fam102b"
"METTL2A"	"Mettl2"
"PRRC2A"	"Prrc2a"
"MAPKAPK2"	"Mapkapk2"
"FBXL20"	"Fbxl20"
"ITGB2"	"Itgb2"
"TANC2"	"Tanc2"
"S100A8"	"S100a8"
"CXCL14"	"Cxcl14"
"CNP"	"Cnp"
"COL6A2"	"Col6a2"
"PLIN3"	"Plin3"
"BRD4"	"Brd4"
"CSNK1G1"	"Csnk1g1"
"ZNF845"	"Zfp729b"
"LZTFL1"	"Lztfl1"
"SRF"	"Srf"
"ATAD1"	"Atad1"
"CCDC6"	"Ccdc6"
"AATF"	"Aatf"
"AC138894.1"	"Cln3"
"DYNC1I2"	"Dync1i2"
"TM2D3"	"Tm2d3"
"PIK3IP1"	"Pik3ip1"
"CPEB4"	"Cpeb4"
"CLN3"	"Cln3"
"MGP"	"Mgp"
"S100A4"	"S100a4"
"SP1"	"Sp1"
"HMGN3"	"Hmgn3"
"SCARA5"	"Scara5"
"C7"	"C7"
"KRT15"	"Krt15"
"S100A16"	"S100a16"
"MPP5"	"Mpp5"
"ATP6V1D"	"Atp6v1d"
"S100A14"	"S100a14"
"COPS8"	"Cops8"
"PTPRF"	"Ptprf"
"ADPRH"	"Adprh"
"S100A1"	"S100a1"
"SAP30BP"	"Sap30bp"
"PHF21A"	"Phf21a"
"IGSF6"	"Igsf6"
"TSPYL1"	"Tspyl1"
"ST3GAL5"	"St3gal5"
"FGFBP1"	"Fgfbp1"
"MGRN1"	"Mgrn1"
"ATAD2B"	"Atad2b"
"ZNF672"	"Zfp672"
"SIK1B"	"Sik1"
"IDH2"	"Idh2"
"INO80"	"Ino80"
"SLAMF6"	"Slamf6"
"OAF"	"Oaf"
"SH2B3"	"Sh2b3"
"EFTUD2"	"Eftud2"
"ATXN2"	"Atxn2"
"RWDD1"	"Rwdd1"
"CD84"	"Cd84"
"CXCR5"	"Cxcr5"
"THBS3"	"Thbs3"
"SCAF8"	"Scaf8"
"UVRAG"	"Uvrag"
"INO80C"	"Ino80c"
"SEMA4B"	"Sema4b"
"STX2"	"Stx2"
"LRRK2"	"Lrrk2"
"IGBP1"	"Igbp1"
"CDKN2AIP"	"Cdkn2aip"
"COL6A3"	"Col6a3"
"MYADM"	"Myadm"
"MRPL45"	"Mrpl45"
"ING2"	"Ing2"
"MRPL1"	"Mrpl1"
"NDUFB3"	"Ndufb3"
"FAM126B"	"Fam126b"
"FBXO9"	"Fbxo9"
"RCHY1"	"Rchy1"
"SF3B6"	"Sf3b6"
"TRMT10A"	"Trmt10a"
"NRP2"	"Nrp2"
"SPC25"	"Spc25"
"CERS6"	"Cers6"
"RWDD4"	"Rwdd4a"
"DRG1"	"Drg1"
"MCM4"	"Mcm4"
"KDM4C"	"Kdm4c"
"LIMS1"	"Lims1"
"ERP44"	"Erp44"
"FOPNL"	"Fopnl"
"CCDC174"	"Ccdc174"
"PISD"	"Pisd"
"VPS13C"	"Vps13c"
"CNOT3"	"Cnot3"
"KRT17"	"Krt17"
"PLEC"	"Plec"
"ANAPC7"	"Anapc7"
"ACBD5"	"Acbd5"
"MBOAT7"	"Mboat7"
"SOCS7"	"Socs7"
"RGS5"	"Rgs5"
"IMPDH2"	"Impdh2"
"MEX3B"	"Mex3b"
"TSEN34"	"Tsen34"
"NPC2"	"Npc2"
"SLAMF7"	"Slamf7"
"LILRA6"	"Lilra6"
"LILRA6"	"Gm14548"
"AGPAT1"	"Agpat1"
"RCBTB2"	"Rcbtb2"
"PDZD11"	"Pdzd11"
"ITGBL1"	"Itgbl1"
"SYNE2"	"Syne2"
"EMC6"	"Emc6"
"AL132671.2"	"Gopc"
"TMBIM1"	"Tmbim1"
"CHP1"	"Chp1"
"LILRB3"	"Lilra6"
"LILRB3"	"Gm14548"
"GBA"	"Gba"
"PRG4"	"Prg4"
"GOPC"	"Gopc"
"LILRB5"	"Lilra6"
"LILRB5"	"Gm14548"
"LILRB2"	"Lilra6"
"LILRB2"	"Gm14548"
"ABCA7"	"Abca7"
"IL13RA1"	"Il13ra1"
"LY9"	"Ly9"
"FAM207A"	"Fam207a"
"ELP2"	"Elp2"
"ATAD5"	"Atad5"
"EFL1"	"Efl1"
"AKAP13"	"Akap13"
"DNAJC10"	"Dnajc10"
"TMEM9"	"Tmem9"
"FEN1"	"Fen1"
"SLC35B2"	"Slc35b2"
"RHOC"	"Rhoc"
"LILRA4"	"Lilra6"
"LILRA4"	"Gm14548"
"LILRA5"	"Lilra6"
"LILRA5"	"Gm14548"
"DST"	"Dst"
"AKAP9"	"Akap9"
"FNBP1L"	"Fnbp1l"
"ABHD13"	"Abhd13"
"SLC39A6"	"Slc39a6"
"IRF2"	"Irf2"
"ELOVL5"	"Elovl5"
"FHL3"	"Fhl3"
"HIKESHI"	"Hikeshi"
"ZMYM4"	"Zmym4"
"GLE1"	"Gle1"
"UTP11"	"Utp11"
"POU3F1"	"Pou3f1"
"CEP350"	"Cep350"
"ST8SIA4"	"St8sia4"
"MRPS18A"	"Mrps18a"
"SMAD5"	"Smad5"
"PELP1"	"Pelp1"
"LMNA"	"Lmna"
"ZNF609"	"Zfp609"
"LILRA2"	"Lilra6"
"LILRA2"	"Gm14548"
"ZCCHC10"	"Zcchc10"
"SLC25A33"	"Slc25a33"
"MAP3K12"	"Map3k12"
"LILRA1"	"Lilra6"
"LILRA1"	"Gm14548"
"CENPL"	"Cenpl"
"SLC39A10"	"Slc39a10"
"LILRB1"	"Lilra6"
"LILRB1"	"Gm14548"
"ANKRD22"	"Ankrd22"
"FAM189B"	"Fam189b"
"LILRB4"	"Lilra6"
"LILRB4"	"Gm14548"
"PGRMC1"	"Pgrmc1"
"ERG"	"Erg"
"U2AF1L5"	"U2af1"
"POLR1A"	"Polr1a"
"BCL2L11"	"Bcl2l11"
"ASF1A"	"Asf1a"
"LDLR"	"Ldlr"
"ANKIB1"	"Ankib1"
"STOM"	"Stom"
"CYP51A1"	"Cyp51"
"LOXL1"	"Loxl1"
"PTGS2"	"Ptgs2"
"CTU2"	"Ctu2"
"MDK"	"Mdk"
"DCTN4"	"Dctn4"
"SPAG7"	"Spag7"
"SREK1IP1"	"Srek1ip1"
"PTPRS"	"Ptprs"
"VCAN"	"Vcan"
"RAB2A"	"Rab2a"
"RGS16"	"Rgs16"
